Entity,Code,Day,Baseline expected deaths,Reported deaths
Albania,ALB,2020-01-31,2434.2,2187
Albania,ALB,2020-02-29,1961.6,2018
Albania,ALB,2020-03-31,1967.2,1993
Albania,ALB,2020-04-30,1734,1804
Albania,ALB,2020-05-31,1685,1803
Albania,ALB,2020-06-30,1614,1779
Albania,ALB,2020-07-31,1751.2,2166
Albania,ALB,2020-08-31,1694.6,2476
Albania,ALB,2020-09-30,1518.2,1982
Albania,ALB,2020-10-31,1651,2403
Albania,ALB,2020-11-30,1750.6,3854
Albania,ALB,2020-12-31,2031,3140
Albania,ALB,2021-01-31,2429.6,3002
Albania,ALB,2021-02-28,1957,3773
Albania,ALB,2021-03-31,1962.6,3447
Albania,ALB,2021-04-30,1729.4,2419
Albania,ALB,2021-05-31,1680.4,1874
Albania,ALB,2021-06-30,1609.4,1822
Albania,ALB,2021-07-31,1746.6,1820
Albania,ALB,2021-08-31,1690,2080
Albania,ALB,2021-09-30,1513.6,2506
Albania,ALB,2021-10-31,1646.4,2559
Albania,ALB,2021-11-30,1746,2506
Albania,ALB,2021-12-31,2026.4,2772
Albania,ALB,2022-01-31,2425.1,3302
Albania,ALB,2022-02-28,1952.5,2774
Albania,ALB,2022-03-31,1958.1,2043
Albania,ALB,2022-04-30,1724.9,1711
Albania,ALB,2022-05-31,1675.9,1682
Albania,ALB,2022-06-30,1604.9,1673
Albania,ALB,2022-07-31,1742.1,1991
Albania,ALB,2022-08-31,1685.5,1907
Albania,ALB,2022-09-30,1509.1,1531
Albania,ALB,2022-10-31,1641.9,1672
Albania,ALB,2022-11-30,1741.5,1686
Albania,ALB,2022-12-31,2021.9,2026
Albania,ALB,2023-01-31,2420.5,2173
Albania,ALB,2023-02-28,1947.9,1899
Albania,ALB,2023-03-31,1953.5,1767
Albania,ALB,2023-04-30,1720.3,1668
Albania,ALB,2023-05-31,1671.3,1696
Albania,ALB,2023-06-30,1600.3,1586
Albania,ALB,2023-07-31,1737.5,2000
Albania,ALB,2023-08-31,1680.9,1719
Albania,ALB,2023-09-30,1504.5,1619
Albania,ALB,2023-10-31,1637.3,1660
Albania,ALB,2023-11-30,1736.9,1675
Albania,ALB,2023-12-31,2017.3,1824
Algeria,DZA,2020-01-31,17633.9,17733
Algeria,DZA,2020-02-29,15907.4,15909
Algeria,DZA,2020-03-31,15834.4,15951
Algeria,DZA,2020-04-30,14860.4,15223
Algeria,DZA,2020-05-31,14849.4,14596
Algeria,DZA,2020-06-30,14486.4,18704
Algeria,DZA,2020-07-31,15266.4,33940
Algeria,DZA,2020-08-31,15260.9,23991
Algeria,DZA,2020-09-30,14303.9,17393
Algeria,DZA,2020-10-31,15295.9,19279
Algeria,DZA,2020-11-30,15513.4,26916
Algeria,DZA,2020-12-31,16526.9,21434
Algeria,DZA,2021-01-31,17992.5,18263
Algeria,DZA,2021-02-28,16266,14860
Algeria,DZA,2021-03-31,16193,16320
Algeria,DZA,2021-04-30,15219,15774
Algeria,DZA,2021-05-31,15208,16564
Algeria,DZA,2021-06-30,14845,17883
Algeria,DZA,2021-07-31,15625,33658
Algeria,DZA,2021-08-31,15619.5,46177
Algeria,DZA,2021-09-30,14662.5,20701
Algeria,DZA,2021-10-31,15654.5,17637
Algeria,DZA,2021-11-30,15872,18333
Algeria,DZA,2021-12-31,16885.5,22321
Algeria,DZA,2022-01-31,18351,26226
Algeria,DZA,2022-02-28,16624.5,21528
Algeria,DZA,2022-03-31,16551.5,15696
Algeria,DZA,2022-04-30,15577.5,14177
Algeria,DZA,2022-05-31,15566.5,15181
Algeria,DZA,2022-06-30,15203.5,14366
Algeria,DZA,2022-07-31,15983.5,15868
Algeria,DZA,2022-08-31,15978,16363
Algeria,DZA,2022-09-30,15021,14476
Algeria,DZA,2022-10-31,16013,15195
Algeria,DZA,2022-11-30,16230.5,16492
Algeria,DZA,2022-12-31,17244,17578
Algeria,DZA,2023-01-31,18709.6,17886
Algeria,DZA,2023-02-28,16983.1,15298
Algeria,DZA,2023-03-31,16910.1,15630
Algeria,DZA,2023-04-30,15936.1,14933
Algeria,DZA,2023-05-31,15925.1,14791
Algeria,DZA,2023-06-30,15562.1,14077
Algeria,DZA,2023-07-31,16342.1,19710
Algeria,DZA,2023-08-31,16336.6,15812
Algeria,DZA,2023-09-30,15379.6,14633
Algeria,DZA,2023-10-31,16371.6,15391
Algeria,DZA,2023-11-30,16589.1,15731
Algeria,DZA,2023-12-31,17602.6,18294
Andorra,AND,2020-01-31,34.6,34
Andorra,AND,2020-02-29,28,37
Andorra,AND,2020-03-31,32.4,40
Andorra,AND,2020-04-30,24.4,60
Andorra,AND,2020-05-31,21.6,36
Andorra,AND,2020-06-30,25.8,26
Andorra,AND,2020-07-31,27.4,29
Andorra,AND,2020-08-31,25.2,19
Andorra,AND,2020-09-30,25.2,27
Andorra,AND,2020-10-31,27.4,51
Andorra,AND,2020-11-30,26.2,19
Andorra,AND,2020-12-31,31.2,41
Andorra,AND,2021-01-31,35.1,52
Andorra,AND,2021-02-28,28.5,36
Andorra,AND,2021-03-31,32.9,26
Andorra,AND,2021-04-30,24.9,43
Andorra,AND,2021-05-31,22.1,32
Andorra,AND,2021-06-30,26.3,19
Andorra,AND,2021-07-31,27.9,29
Andorra,AND,2021-08-31,25.7,28
Andorra,AND,2021-09-30,25.7,26
Andorra,AND,2021-10-31,27.9,27
Andorra,AND,2021-11-30,26.7,26
Andorra,AND,2021-12-31,31.7,42
Andorra,AND,2022-01-31,35.6,
Andorra,AND,2022-02-28,29,
Andorra,AND,2022-03-31,33.4,
Andorra,AND,2022-04-30,25.4,
Andorra,AND,2022-05-31,22.6,
Andorra,AND,2022-06-30,26.8,
Andorra,AND,2022-07-31,28.4,
Andorra,AND,2022-08-31,26.2,
Andorra,AND,2022-09-30,26.2,
Andorra,AND,2022-10-31,28.4,
Andorra,AND,2022-11-30,27.2,
Andorra,AND,2022-12-31,32.2,
Andorra,AND,2023-01-31,36.1,
Andorra,AND,2023-02-28,29.5,
Andorra,AND,2023-03-31,33.9,
Andorra,AND,2023-04-30,25.9,
Andorra,AND,2023-05-31,23.1,
Andorra,AND,2023-06-30,27.3,
Andorra,AND,2023-07-31,28.9,
Andorra,AND,2023-08-31,26.7,
Andorra,AND,2023-09-30,26.7,
Andorra,AND,2023-10-31,28.9,
Andorra,AND,2023-11-30,27.7,
Andorra,AND,2023-12-31,32.7,
Antigua and Barbuda,ATG,2020-01-31,46.9,50
Antigua and Barbuda,ATG,2020-02-29,55.5,47
Antigua and Barbuda,ATG,2020-03-31,59.9,60
Antigua and Barbuda,ATG,2020-04-30,49.3,49
Antigua and Barbuda,ATG,2020-05-31,51.1,52
Antigua and Barbuda,ATG,2020-06-30,51.1,42
Antigua and Barbuda,ATG,2020-07-31,47.1,46
Antigua and Barbuda,ATG,2020-08-31,59.1,44
Antigua and Barbuda,ATG,2020-09-30,52.5,45
Antigua and Barbuda,ATG,2020-10-31,56.5,50
Antigua and Barbuda,ATG,2020-11-30,52.7,49
Antigua and Barbuda,ATG,2020-12-31,50.1,40
Antigua and Barbuda,ATG,2021-01-31,48.6,56
Antigua and Barbuda,ATG,2021-02-28,57.2,68
Antigua and Barbuda,ATG,2021-03-31,61.6,55
Antigua and Barbuda,ATG,2021-04-30,51,50
Antigua and Barbuda,ATG,2021-05-31,52.8,46
Antigua and Barbuda,ATG,2021-06-30,52.8,39
Antigua and Barbuda,ATG,2021-07-31,48.8,55
Antigua and Barbuda,ATG,2021-08-31,60.8,47
Antigua and Barbuda,ATG,2021-09-30,54.2,104
Antigua and Barbuda,ATG,2021-10-31,58.2,26
Antigua and Barbuda,ATG,2021-11-30,54.4,64
Antigua and Barbuda,ATG,2021-12-31,51.8,39
Antigua and Barbuda,ATG,2022-01-31,50.3,
Antigua and Barbuda,ATG,2022-02-28,58.9,
Antigua and Barbuda,ATG,2022-03-31,63.3,
Antigua and Barbuda,ATG,2022-04-30,52.7,
Antigua and Barbuda,ATG,2022-05-31,54.5,
Antigua and Barbuda,ATG,2022-06-30,54.5,
Antigua and Barbuda,ATG,2022-07-31,50.5,
Antigua and Barbuda,ATG,2022-08-31,62.5,
Antigua and Barbuda,ATG,2022-09-30,55.9,
Antigua and Barbuda,ATG,2022-10-31,59.9,
Antigua and Barbuda,ATG,2022-11-30,56.1,
Antigua and Barbuda,ATG,2022-12-31,53.5,
Antigua and Barbuda,ATG,2023-01-31,51.9,
Antigua and Barbuda,ATG,2023-02-28,60.5,
Antigua and Barbuda,ATG,2023-03-31,64.9,
Antigua and Barbuda,ATG,2023-04-30,54.3,
Antigua and Barbuda,ATG,2023-05-31,56.1,
Antigua and Barbuda,ATG,2023-06-30,56.1,
Antigua and Barbuda,ATG,2023-07-31,52.1,
Antigua and Barbuda,ATG,2023-08-31,64.1,
Antigua and Barbuda,ATG,2023-09-30,57.5,
Antigua and Barbuda,ATG,2023-10-31,61.5,
Antigua and Barbuda,ATG,2023-11-30,57.7,
Antigua and Barbuda,ATG,2023-12-31,55.1,
Argentina,ARG,2020-01-31,26546.5,25870
Argentina,ARG,2020-02-29,23877.9,24405
Argentina,ARG,2020-03-31,26044.1,26072
Argentina,ARG,2020-04-30,25996.5,24941
Argentina,ARG,2020-05-31,29426.5,26927
Argentina,ARG,2020-06-30,33231.9,28365
Argentina,ARG,2020-07-31,34508.1,35340
Argentina,ARG,2020-08-31,31925.5,37222
Argentina,ARG,2020-09-30,29315.5,40543
Argentina,ARG,2020-10-31,28196.1,40941
Argentina,ARG,2020-11-30,25610.9,34895
Argentina,ARG,2020-12-31,26806.3,32073
Argentina,ARG,2021-01-31,26549.2,34758
Argentina,ARG,2021-02-28,23880.6,29502
Argentina,ARG,2021-03-31,26046.8,32075
Argentina,ARG,2021-04-30,25999.2,40088
Argentina,ARG,2021-05-31,29429.2,51642
Argentina,ARG,2021-06-30,33234.6,51254
Argentina,ARG,2021-07-31,34510.8,44049
Argentina,ARG,2021-08-31,31928.2,37169
Argentina,ARG,2021-09-30,29318.2,29466
Argentina,ARG,2021-10-31,28198.8,29051
Argentina,ARG,2021-11-30,25613.6,27263
Argentina,ARG,2021-12-31,26809,29835
Argentina,ARG,2022-01-31,26551.9,48452
Argentina,ARG,2022-02-28,23883.3,34011
Argentina,ARG,2022-03-31,26049.5,30818
Argentina,ARG,2022-04-30,26001.9,30033
Argentina,ARG,2022-05-31,29431.9,31995
Argentina,ARG,2022-06-30,33237.3,35461
Argentina,ARG,2022-07-31,34513.5,35978
Argentina,ARG,2022-08-31,31930.9,32741
Argentina,ARG,2022-09-30,29320.9,29831
Argentina,ARG,2022-10-31,28201.5,29860
Argentina,ARG,2022-11-30,25616.3,27919
Argentina,ARG,2022-12-31,26811.7,30873
Argentina,ARG,2023-01-31,26554.7,29839
Argentina,ARG,2023-02-28,23886.1,24814
Argentina,ARG,2023-03-31,26052.3,28194
Argentina,ARG,2023-04-30,26004.7,28311
Argentina,ARG,2023-05-31,29434.7,30004
Argentina,ARG,2023-06-30,33240.1,32843
Argentina,ARG,2023-07-31,34516.3,33572
Argentina,ARG,2023-08-31,31933.7,31271
Argentina,ARG,2023-09-30,29323.7,29711
Argentina,ARG,2023-10-31,28204.3,28486
Argentina,ARG,2023-11-30,25619.1,26839
Argentina,ARG,2023-12-31,26814.5,29544
Armenia,ARM,2020-01-31,2585.9,2567
Armenia,ARM,2020-02-29,2238.5,2434
Armenia,ARM,2020-03-31,2307.9,2288
Armenia,ARM,2020-04-30,2078.7,2156
Armenia,ARM,2020-05-31,2112.7,2103
Armenia,ARM,2020-06-30,1936.5,2869
Armenia,ARM,2020-07-31,2009.9,2719
Armenia,ARM,2020-08-31,1941.5,2106
Armenia,ARM,2020-09-30,1669.9,2042
Armenia,ARM,2020-10-31,1973.5,3632
Armenia,ARM,2020-11-30,2175.1,6060
Armenia,ARM,2020-12-31,2316.9,4395
Armenia,ARM,2021-01-31,2538.7,3013
Armenia,ARM,2021-02-28,2191.3,2418
Armenia,ARM,2021-03-31,2260.7,2836
Armenia,ARM,2021-04-30,2031.5,3361
Armenia,ARM,2021-05-31,2065.5,2633
Armenia,ARM,2021-06-30,1889.3,2290
Armenia,ARM,2021-07-31,1962.7,2247
Armenia,ARM,2021-08-31,1894.3,2241
Armenia,ARM,2021-09-30,1622.7,2559
Armenia,ARM,2021-10-31,1926.3,3462
Armenia,ARM,2021-11-30,2127.9,4577
Armenia,ARM,2021-12-31,2269.7,3001
Armenia,ARM,2022-01-31,2491.4,2676
Armenia,ARM,2022-02-28,2144,3239
Armenia,ARM,2022-03-31,2213.4,2679
Armenia,ARM,2022-04-30,1984.2,1993
Armenia,ARM,2022-05-31,2018.2,2100
Armenia,ARM,2022-06-30,1842,1879
Armenia,ARM,2022-07-31,1915.4,1869
Armenia,ARM,2022-08-31,1847,2006
Armenia,ARM,2022-09-30,1575.4,2045
Armenia,ARM,2022-10-31,1879,1982
Armenia,ARM,2022-11-30,2080.6,2055
Armenia,ARM,2022-12-31,2222.4,2169
Armenia,ARM,2023-01-31,2444.2,2495
Armenia,ARM,2023-02-28,2096.8,2056
Armenia,ARM,2023-03-31,2166.2,2220
Armenia,ARM,2023-04-30,1937,1951
Armenia,ARM,2023-05-31,1971,1985
Armenia,ARM,2023-06-30,1794.8,1773
Armenia,ARM,2023-07-31,1868.2,1793
Armenia,ARM,2023-08-31,1799.8,2136
Armenia,ARM,2023-09-30,1528.2,1706
Armenia,ARM,2023-10-31,1831.8,2045
Armenia,ARM,2023-11-30,2033.4,2032
Armenia,ARM,2023-12-31,2175.2,2121
Aruba,ABW,2020-01-31,57.7,69
Aruba,ABW,2020-02-29,57.5,56
Aruba,ABW,2020-03-31,57.9,74
Aruba,ABW,2020-04-30,59.3,60
Aruba,ABW,2020-05-31,62.1,47
Aruba,ABW,2020-06-30,51.9,60
Aruba,ABW,2020-07-31,54.5,47
Aruba,ABW,2020-08-31,55.3,63
Aruba,ABW,2020-09-30,51.3,82
Aruba,ABW,2020-10-31,55.3,71
Aruba,ABW,2020-11-30,58.7,57
Aruba,ABW,2020-12-31,60.7,57
Aruba,ABW,2021-01-31,56.9,68
Aruba,ABW,2021-02-28,56.7,87
Aruba,ABW,2021-03-31,57.1,80
Aruba,ABW,2021-04-30,58.5,95
Aruba,ABW,2021-05-31,61.3,69
Aruba,ABW,2021-06-30,51.1,45
Aruba,ABW,2021-07-31,53.7,70
Aruba,ABW,2021-08-31,54.5,120
Aruba,ABW,2021-09-30,50.5,92
Aruba,ABW,2021-10-31,54.5,93
Aruba,ABW,2021-11-30,57.9,78
Aruba,ABW,2021-12-31,59.9,67
Aruba,ABW,2022-01-31,56.2,
Aruba,ABW,2022-02-28,56,
Aruba,ABW,2022-03-31,56.4,
Aruba,ABW,2022-04-30,57.8,
Aruba,ABW,2022-05-31,60.6,
Aruba,ABW,2022-06-30,50.4,
Aruba,ABW,2022-07-31,53,
Aruba,ABW,2022-08-31,53.8,
Aruba,ABW,2022-09-30,49.8,
Aruba,ABW,2022-10-31,53.8,
Aruba,ABW,2022-11-30,57.2,
Aruba,ABW,2022-12-31,59.2,
Aruba,ABW,2023-01-31,55.4,
Aruba,ABW,2023-02-28,55.2,
Aruba,ABW,2023-03-31,55.6,
Aruba,ABW,2023-04-30,57,
Aruba,ABW,2023-05-31,59.8,
Aruba,ABW,2023-06-30,49.6,
Aruba,ABW,2023-07-31,52.2,
Aruba,ABW,2023-08-31,53,
Aruba,ABW,2023-09-30,49,
Aruba,ABW,2023-10-31,53,
Aruba,ABW,2023-11-30,56.4,
Aruba,ABW,2023-12-31,58.4,
Australia,AUS,2020-01-05,2969.5,2930
Australia,AUS,2020-01-12,2962.7,2903
Australia,AUS,2020-01-19,2932.7,2915
Australia,AUS,2020-01-26,2923.1,3010
Australia,AUS,2020-02-02,2893.1,2911
Australia,AUS,2020-02-09,2929.9,2918
Australia,AUS,2020-02-16,2914.1,3032
Australia,AUS,2020-02-23,2972.9,3059
Australia,AUS,2020-03-01,2948.3,3091
Australia,AUS,2020-03-08,2986.7,2999
Australia,AUS,2020-03-15,2924.3,2977
Australia,AUS,2020-03-22,2959.9,3097
Australia,AUS,2020-03-29,2976.7,3144
Australia,AUS,2020-04-05,2994.1,3219
Australia,AUS,2020-04-12,3039.5,3140
Australia,AUS,2020-04-19,3043.3,3085
Australia,AUS,2020-04-26,3034.1,3047
Australia,AUS,2020-05-03,3067.9,3031
Australia,AUS,2020-05-10,3187.9,3162
Australia,AUS,2020-05-17,3186.5,3154
Australia,AUS,2020-05-24,3262.3,3217
Australia,AUS,2020-05-31,3279.3,3178
Australia,AUS,2020-06-07,3349.3,3114
Australia,AUS,2020-06-14,3297.3,3130
Australia,AUS,2020-06-21,3326.7,3066
Australia,AUS,2020-06-28,3380.1,3058
Australia,AUS,2020-07-05,3457.7,3221
Australia,AUS,2020-07-12,3439.9,3202
Australia,AUS,2020-07-19,3526.3,3206
Australia,AUS,2020-07-26,3546.7,3335
Australia,AUS,2020-08-02,3502.7,3355
Australia,AUS,2020-08-09,3524.1,3400
Australia,AUS,2020-08-16,3572.7,3479
Australia,AUS,2020-08-23,3594.7,3312
Australia,AUS,2020-08-30,3603.7,3288
Australia,AUS,2020-09-06,3537.7,3295
Australia,AUS,2020-09-13,3453.1,3239
Australia,AUS,2020-09-20,3402.3,3103
Australia,AUS,2020-09-27,3281.1,3146
Australia,AUS,2020-10-04,3283.1,3190
Australia,AUS,2020-10-11,3236.5,3045
Australia,AUS,2020-10-18,3181.5,3007
Australia,AUS,2020-10-25,3117.1,2968
Australia,AUS,2020-11-01,3108.3,3038
Australia,AUS,2020-11-08,3059.3,3034
Australia,AUS,2020-11-15,3011.7,3138
Australia,AUS,2020-11-22,3041.9,3045
Australia,AUS,2020-11-29,3006.1,2960
Australia,AUS,2020-12-06,2970.5,3113
Australia,AUS,2020-12-13,3039.5,3008
Australia,AUS,2020-12-20,2996.9,3049
Australia,AUS,2020-12-27,2938.5,3069
Australia,AUS,2021-01-03,2938.5,2995
Australia,AUS,2021-01-10,2998.9,3033
Australia,AUS,2021-01-17,2992.1,2953
Australia,AUS,2021-01-24,2962.1,3150
Australia,AUS,2021-01-31,2952.5,2946
Australia,AUS,2021-02-07,2922.5,3073
Australia,AUS,2021-02-14,2959.3,2967
Australia,AUS,2021-02-21,2943.5,2939
Australia,AUS,2021-02-28,3002.3,3052
Australia,AUS,2021-03-07,2977.7,3072
Australia,AUS,2021-03-14,3016.1,3121
Australia,AUS,2021-03-21,2953.7,3090
Australia,AUS,2021-03-28,2989.3,3043
Australia,AUS,2021-04-04,3006.1,3093
Australia,AUS,2021-04-11,3023.5,2960
Australia,AUS,2021-04-18,3068.9,3260
Australia,AUS,2021-04-25,3072.7,3248
Australia,AUS,2021-05-02,3063.5,3277
Australia,AUS,2021-05-09,3097.3,3371
Australia,AUS,2021-05-16,3217.3,3372
Australia,AUS,2021-05-23,3215.9,3364
Australia,AUS,2021-05-30,3291.7,3518
Australia,AUS,2021-06-06,3308.7,3384
Australia,AUS,2021-06-13,3378.7,3568
Australia,AUS,2021-06-20,3326.7,3495
Australia,AUS,2021-06-27,3356.1,3459
Australia,AUS,2021-07-04,3409.5,3469
Australia,AUS,2021-07-11,3487.1,3547
Australia,AUS,2021-07-18,3469.3,3602
Australia,AUS,2021-07-25,3555.7,3627
Australia,AUS,2021-08-01,3576.1,3671
Australia,AUS,2021-08-08,3532.1,3479
Australia,AUS,2021-08-15,3553.5,3445
Australia,AUS,2021-08-22,3602.1,3510
Australia,AUS,2021-08-29,3624.1,3424
Australia,AUS,2021-09-05,3633.1,3498
Australia,AUS,2021-09-12,3567.1,3421
Australia,AUS,2021-09-19,3482.5,3496
Australia,AUS,2021-09-26,3431.7,3370
Australia,AUS,2021-10-03,3310.5,3535
Australia,AUS,2021-10-10,3312.5,3411
Australia,AUS,2021-10-17,3265.9,3362
Australia,AUS,2021-10-24,3210.9,3363
Australia,AUS,2021-10-31,3146.5,3342
Australia,AUS,2021-11-07,3137.7,3314
Australia,AUS,2021-11-14,3088.7,3192
Australia,AUS,2021-11-21,3041.1,3342
Australia,AUS,2021-11-28,3071.3,3266
Australia,AUS,2021-12-05,3035.5,3265
Australia,AUS,2021-12-12,2999.9,3198
Australia,AUS,2021-12-19,3068.9,3279
Australia,AUS,2021-12-26,3026.3,3392
Australia,AUS,2022-01-02,2967.9,3235
Australia,AUS,2022-01-09,3028.3,3336
Australia,AUS,2022-01-16,3021.5,3742
Australia,AUS,2022-01-23,2991.5,3895
Australia,AUS,2022-01-30,2981.9,3790
Australia,AUS,2022-02-06,2951.9,3751
Australia,AUS,2022-02-13,2988.7,3572
Australia,AUS,2022-02-20,2972.9,3423
Australia,AUS,2022-02-27,3031.7,3415
Australia,AUS,2022-03-06,3007.1,3387
Australia,AUS,2022-03-13,3045.5,3217
Australia,AUS,2022-03-20,2983.1,3357
Australia,AUS,2022-03-27,3018.7,3359
Australia,AUS,2022-04-03,3035.5,3421
Australia,AUS,2022-04-10,3052.9,3456
Australia,AUS,2022-04-17,3098.3,3383
Australia,AUS,2022-04-24,3102.1,3488
Australia,AUS,2022-05-01,3092.9,3503
Australia,AUS,2022-05-08,3126.7,3684
Australia,AUS,2022-05-15,3246.7,3801
Australia,AUS,2022-05-22,3245.3,3664
Australia,AUS,2022-05-29,3321.1,3786
Australia,AUS,2022-06-05,3338.1,3929
Australia,AUS,2022-06-12,3408.1,4050
Australia,AUS,2022-06-19,3356.1,4146
Australia,AUS,2022-06-26,3385.5,4012
Australia,AUS,2022-07-03,3438.9,3920
Australia,AUS,2022-07-10,3516.5,4128
Australia,AUS,2022-07-17,3498.7,4132
Australia,AUS,2022-07-24,3585.1,4160
Australia,AUS,2022-07-31,3605.5,4171
Australia,AUS,2022-08-07,3561.5,4221
Australia,AUS,2022-08-14,3582.9,4134
Australia,AUS,2022-08-21,3631.5,3949
Australia,AUS,2022-08-28,3653.5,3897
Australia,AUS,2022-09-04,3662.5,3744
Australia,AUS,2022-09-11,3596.5,3790
Australia,AUS,2022-09-18,3511.9,3709
Australia,AUS,2022-09-25,3461.1,3690
Australia,AUS,2022-10-02,3339.9,3426
Australia,AUS,2022-10-09,3341.9,3514
Australia,AUS,2022-10-16,3295.3,3478
Australia,AUS,2022-10-23,3240.3,3553
Australia,AUS,2022-10-30,3175.9,3329
Australia,AUS,2022-11-06,3167.1,3398
Australia,AUS,2022-11-13,3118.1,3513
Australia,AUS,2022-11-20,3070.5,3466
Australia,AUS,2022-11-27,3100.7,3513
Australia,AUS,2022-12-04,3064.9,3452
Australia,AUS,2022-12-11,3029.3,3611
Australia,AUS,2022-12-18,3098.3,3572
Australia,AUS,2022-12-25,3055.7,3610
Australia,AUS,2023-01-01,2997.3,3456
Australia,AUS,2023-01-08,3057.7,3497
Australia,AUS,2023-01-15,3050.9,3286
Australia,AUS,2023-01-22,3020.9,3331
Australia,AUS,2023-01-29,3011.3,3227
Australia,AUS,2023-02-05,2981.3,3372
Australia,AUS,2023-02-12,3018.1,3213
Australia,AUS,2023-02-19,3002.3,3302
Australia,AUS,2023-02-26,3061.1,3245
Australia,AUS,2023-03-05,3036.5,3304
Australia,AUS,2023-03-12,3074.9,3382
Australia,AUS,2023-03-19,3012.5,3416
Australia,AUS,2023-03-26,3048.1,3326
Australia,AUS,2023-04-02,3064.9,3304
Australia,AUS,2023-04-09,3082.3,3283
Australia,AUS,2023-04-16,3127.7,3481
Australia,AUS,2023-04-23,3131.5,3540
Australia,AUS,2023-04-30,3122.3,3506
Australia,AUS,2023-05-07,3156.1,3534
Australia,AUS,2023-05-14,3276.1,3782
Australia,AUS,2023-05-21,3274.7,3810
Australia,AUS,2023-05-28,3350.5,3837
Australia,AUS,2023-06-04,3367.5,3940
Australia,AUS,2023-06-11,3437.5,3723
Australia,AUS,2023-06-18,3385.5,3634
Australia,AUS,2023-06-25,3414.9,3861
Australia,AUS,2023-07-02,3468.3,3762
Australia,AUS,2023-07-09,3545.9,3835
Australia,AUS,2023-07-16,3528.1,3724
Australia,AUS,2023-07-23,3614.5,3745
Australia,AUS,2023-07-30,3634.9,3755
Australia,AUS,2023-08-06,3590.9,3655
Australia,AUS,2023-08-13,3612.3,3647
Australia,AUS,2023-08-20,3660.9,3702
Australia,AUS,2023-08-27,3682.9,3548
Australia,AUS,2023-09-03,3691.9,3524
Australia,AUS,2023-09-10,3625.9,3476
Australia,AUS,2023-09-17,3541.3,3563
Australia,AUS,2023-09-24,3490.5,3382
Australia,AUS,2023-10-01,3369.3,3467
Australia,AUS,2023-10-08,3371.3,3367
Australia,AUS,2023-10-15,3324.7,3546
Australia,AUS,2023-10-22,3269.7,3335
Australia,AUS,2023-10-29,3205.3,3339
Australia,AUS,2023-11-05,3196.5,3463
Australia,AUS,2023-11-12,3147.5,3534
Australia,AUS,2023-11-19,3099.9,3542
Australia,AUS,2023-11-26,3130.1,3410
Australia,AUS,2023-12-03,3094.3,3470
Australia,AUS,2023-12-10,3058.7,3440
Australia,AUS,2023-12-17,3127.7,3395
Australia,AUS,2023-12-24,3085.1,3439
Australia,AUS,2023-12-31,3026.7,3368
Austria,AUT,2020-01-05,1828.2,1607
Austria,AUT,2020-01-12,1876.2,1691
Austria,AUT,2020-01-19,1805.6,1791
Austria,AUT,2020-01-26,1766.2,1773
Austria,AUT,2020-02-02,1837.8,1941
Austria,AUT,2020-02-09,1856,1675
Austria,AUT,2020-02-16,1832,1714
Austria,AUT,2020-02-23,1841.2,1718
Austria,AUT,2020-03-01,1834.8,1761
Austria,AUT,2020-03-08,1772.8,1734
Austria,AUT,2020-03-15,1730.6,1714
Austria,AUT,2020-03-22,1617.2,1828
Austria,AUT,2020-03-29,1665,1756
Austria,AUT,2020-04-05,1604.6,1821
Austria,AUT,2020-04-12,1565.4,1794
Austria,AUT,2020-04-19,1542.6,1691
Austria,AUT,2020-04-26,1489.4,1580
Austria,AUT,2020-05-03,1483.8,1472
Austria,AUT,2020-05-10,1458.6,1516
Austria,AUT,2020-05-17,1482.2,1480
Austria,AUT,2020-05-24,1440.8,1477
Austria,AUT,2020-05-31,1433.6,1410
Austria,AUT,2020-06-07,1431.6,1483
Austria,AUT,2020-06-14,1462.6,1457
Austria,AUT,2020-06-21,1426.8,1406
Austria,AUT,2020-06-28,1419,1433
Austria,AUT,2020-07-05,1454.4,1554
Austria,AUT,2020-07-12,1396.6,1378
Austria,AUT,2020-07-19,1489,1439
Austria,AUT,2020-07-26,1508,1445
Austria,AUT,2020-08-02,1524,1522
Austria,AUT,2020-08-09,1445.4,1427
Austria,AUT,2020-08-16,1479.8,1603
Austria,AUT,2020-08-23,1453,1467
Austria,AUT,2020-08-30,1446,1488
Austria,AUT,2020-09-06,1396.4,1518
Austria,AUT,2020-09-13,1444,1562
Austria,AUT,2020-09-20,1442.2,1560
Austria,AUT,2020-09-27,1490.8,1531
Austria,AUT,2020-10-04,1529.6,1573
Austria,AUT,2020-10-11,1538.2,1620
Austria,AUT,2020-10-18,1524.4,1612
Austria,AUT,2020-10-25,1528.2,1772
Austria,AUT,2020-11-01,1532.2,1886
Austria,AUT,2020-11-08,1528.6,2004
Austria,AUT,2020-11-15,1571.6,2283
Austria,AUT,2020-11-22,1557.2,2401
Austria,AUT,2020-11-29,1565.4,2428
Austria,AUT,2020-12-06,1622.2,2544
Austria,AUT,2020-12-13,1626,2478
Austria,AUT,2020-12-20,1672.8,2255
Austria,AUT,2020-12-27,1754.4,2123
Austria,AUT,2021-01-03,1754.4,2000
Austria,AUT,2021-01-10,1834.6,1953
Austria,AUT,2021-01-17,1882.6,1954
Austria,AUT,2021-01-24,1812,2003
Austria,AUT,2021-01-31,1772.6,1940
Austria,AUT,2021-02-07,1844.2,1860
Austria,AUT,2021-02-14,1862.4,1743
